team,games,win,draw,loss,prizes,href_key
Duffle Bag Men,1,0,0,1,,duffle-bag-men
 dumbDEAD,0,,,,,dumbdead1521
duttdutt,4,1,0,3,,duttdutt3864
Dynamo Eclot,18,7,0,11,,dynamo-eclot
Dynamo Gaming,0,,,,,dynamo-gaming
Dynasty e-Sports,1,0,0,1,,dynasty-e-sports
Eagles-Gaming,0,,,,,eagles-gaming186
Eanix,4,2,0,2,,eanix2421
Earthquake Gaming,0,,,,,earthquake-cs-go
Eastern Giants,1,0,0,1,,eastern-giants
Eastern Mysterious Power,1,0,0,1,,eastern-mysterious-power636
Eastern Vikings,0,,,,,eastern-vikings
EASY4,0,,,,,easy41979
EASYPLAY,0,,,,,easyplay
Eat You Alive,3,1,0,2,,eat-you-alive4638
eBettle,17,6,1,10,,inshock5129
eclcats,0,,,,,eclcats
 Eclipse GG,0,,,,,eclipse-gg6172
Eclipse.one,0,,,,,eclipse-one
ECO COBRAS,2,1,0,1,,eco-cobras5049
E-Corp Bumpers,0,,,,,e-corp-bumpers
EDENFUN Gaming,2,0,0,2,,edenfun-gaming
EDG,0,,,,,edg2321
E-Frag,2,0,0,2,,e-frag-cs-go
Efrag.net,7,4,0,3,,efrag-net8885
E-Frag.net,13,8,0,5,,e-frag-net1014
eFrog,0,,,,,efrog
eFuture,6,1,1,4,,efuture
eFuture Beijing,0,,,,,efuture-beijing
eFuture.dk,24,12,0,12,,efuture-dk
EGB.com,1,0,0,1,,egb-com3275
EG Black,0,,,,,evil-geniuses-cd
EG White,8,3,0,5,,eg-pa
EHOME.Female,4,2,0,2,,ehome-female1664
EHOME.Victory,0,,,,,ehomevictory
einheit,0,,,,,einheit
ELAKELAISET,0,,,,,elakelaiset5563
Electronik Generation,0,,,,,egeneration6962
Elite-Fighters,0,,,,,elite-fighters
Elite Wolves,4,0,0,4,,elite-wolves1193
eL'quvet,0,,,,,elquvet
eL'quvet,13,5,0,8,,el-quvet1631
EMA,0,,,,,ema
EMA(Teammate),0,,,,,emateammate
EMP,3,1,0,2,,emp9693
Empyreal eSports,0,,,,,empyreal-esports2663
En9my Team,1,0,0,1,,en9my-team
Energy eSports,9,0,0,9,,energy-esports
Energy Pacemaker,3,0,1,2,,energy-pacemaker137
Enervate Gaming,0,,,,,enervate-gaming
Enigma6 Group,5,2,0,3,,enigma6-group2626
ENRAGE,3,1,0,2,,enrage
EnRo Griffins,0,,,,,enro-griffins480
ENSOX,0,,,,,ensox
Entity eSports,1,1,0,0,,entity-esports5149
Entropiq Queens,6,0,0,6,,entropiq-queens
EnVision eSports.NA,0,,,,,envision-esportsna
ENY0,2,0,0,2,,eny0
Enyoy,19,4,1,14,,enyoy
EOU,0,,,,,eou710
epicblastt,0,,,,,epicblastt1943
Epicedium E-Sports,0,,,,,epicedium-e-sports1041
Epiphany Bolt,0,,,,,epiphany-bolt
EpsiIon eSports,0,,,,,epsiion-esports5224
Epsilon France,0,,,,,epsilon-france
Epsilon Hype,2,0,0,2,,epsilon-hype
Epsilon Ladies,2,0,0,2,,epsilon-ladies
ePz,0,,,,,epz
Equals,1,0,0,1,,equals
equipa,1,1,0,0,,equipa
Equipe Auvergne,0,,,,,equipe-auvergne
es,0,,,,,es
es ,0,,,,,es-
es4x,6,1,0,5,,es4x582
ESPADA Staff,11,8,1,2,,espada-staff
eSport Engine Female,5,3,0,2,,esport-engine-female9380
EsportsAdviser,0,,,,,esportsadviser
eSportsLab Black,4,2,0,2,,esportslab-black9381
eSpuma,0,,,,,espuma1448
eSuba,19,4,0,15,,esuba9839
eszkeere,1,0,0,1,,eszkeere
Etab,3,1,1,1,,etab
Eteng,0,,,,,eteng
Eternal Esports,0,,,,,eternal-esports5144
Eternal Fire Academy,9,3,0,6,,eternal-fire-academy
eternal Playerz,0,,,,,eternal-playerz
Eternity Gaming,0,,,,,eternity-gaming-cs-go
ETHEREAL NA,7,4,0,3,,ethereal
Etherian E-Sports,1,0,0,1,,etherian-e-sports
EU4IA,2,1,0,1,,eu4ia9435
EU4IA,0,,,,,eu4ia
Europe All-Stars,1,0,0,1,,europe-all-stars1962
European Misfits,0,,,,,european-misfits
eveRize,0,,,,,everize
EveryBodyDance,4,2,0,2,,everybodydance
EVG-Serv,0,,,,,evg-serv
Evidence e-Sports,0,,,,,evidence-e-sports
Evilvice Black,0,,,,,evilvice-black4155
EvK,0,,,,,evk
Evokate,3,1,1,1,,evokate9958
Evolution.Dark,0,,,,,evolutiondark
Evolution.Light,0,,,,,evolutionlight
EVOPLAY,0,,,,,evoplay
eXanimo,0,,,,,exanimo
ex-Astral Authority,1,0,0,1,,ex-astral-authority7736
ex-Athletico Esports,0,,,,,ex-athletico-esports
ex-Atmosphere Esports,3,1,0,2,,ex-atmosphere-esports
ex-BEASTS,0,,,,,ex-beasts
ex-beGenius,0,,,,,ex-begenius
ex-beGenius ESC,0,,,,,ex-begenius-esc
exBOTables,1,0,0,1,,exbotables8650
ex-CLG,0,,,,,ex-clg
ex-Conquest,0,,,,,ex-conquest
ex-Cyber Legacy,0,,,,,ex-cyber-legacy
ex-Dark Passage,4,0,0,4,,ex-dark-passage1580
ex-Death Trap,1,0,0,1,,ex-death-trap2678
ex-DIVIZON,4,1,0,3,,ex-divizon
ex-DreamEaters,0,,,,,ex-dreameaters
exDT,0,,,,,exdt
Execration,0,,,,,execration
EXECUTIONERS,0,,,,,executioners-1
ex-eLevate,0,,,,,elevate
ex-En9my Team,0,,,,,ex-en9my-team
Exertus,0,,,,,exertus6794
Exertus eSports,0,,,,,exertus-esports
eXeS,0,,,,,exes6031
eXeS-eSport,0,,,,,exes-esport
ex-EURONICS Gaming,2,2,0,0,,ex-euronics-gaming
ex-Findictus,0,,,,,ex-findictus
ex-Fraternitas,0,,,,,ex-fraternitas
Exgaming,0,,,,,exgaming4451
ex-GearWheel,0,,,,,ex-gearwheel2218
ex-iBUYPOWER,0,,,,,ex-ibuypower
eXire-eSports,0,,,,,exire-esports
ex-Luminosity,2,0,0,2,,ex-luminosity
ex-MAD Lions,3,3,0,0,,ex-mad-lions
ex-Marlian eSports,4,0,0,4,,ex-marlian-esports
ex-Masked Esports,0,,,,,ex-masked-esports
ex-melty Ladies,1,0,0,1,,ex-melty-ladies
ex-Morior Invictus,0,,,,,ex-morior-invictus
ex-Naventic,0,,,,,ex-naventic
ex-Nitrious Gaming,0,,,,,ex-nitrious-gaming
ex-North,0,,,,,ex-north
ex-Orbit,0,,,,,ex-orbit8429
EXOTIC Female,3,1,0,2,,exotic-female6913
Exotic Island,0,,,,,exotic-island3648
ex-Outlaws,8,4,0,4,,ex-outlaws7777
ex-paiN Gaming,3,2,0,1,,ex-pain-gaming8257
Expendables,0,,,,,expendables6239
Expert,5,0,0,5,,expert6625
eXplayerZ,0,,,,,explayerz
EXPLODERS,0,,,,,exploders6961
eXploit Esports,3,0,0,3,,exploit-esports
Express,1,0,0,1,,express
ex-PRIDE,2,0,0,2,,ex-pride
ex-Property,0,,,,,property875
ex-Royal Bandits,1,0,0,1,,ex-royal-bandits
ex-Runtime.gg,4,1,0,3,,ex-runtime-gg
ex-Splyce,3,2,0,1,,ex-splyce
ex-Synthetik Gaming,1,0,0,1,,ex-synthetik-gaming4574
eXtatus,0,,,,,extatus
ex-Team 3DMAX,0,,,,,ex-team-3dmax
ex-Team Cursive,0,,,,,team-cursive-cs-go
Ex-Team Orbit,0,,,,,ex-team-orbit
ex-Team Wild,0,,,,,ex-team-wild
eXtensive!,0,,,,,extensive
EXTREMUM Staff,10,6,0,4,,extremum-staff
ex-Tricked,1,0,0,1,,ex-tricked203
ex-USSR Team,0,,,,,ex-ussr-team
ex-Vega Squadron,0,,,,,ex-vega-squadron
ex-Vexed,4,3,0,1,,ex-vexed
ex-Vikings,2,0,0,2,,ex-vikings
ex-Virtus.pro,2,1,0,1,,ex-virtus-pro
ex-Warriors International,0,,,,,ex-warriors-international
ex-Wild Fire,2,1,0,1,,ex-wild-fire
ex-Wind and Rain,2,0,0,2,,ex-wind-and-rain
ex-Zone Esports,0,,,,,ex-zone-esports
EYEBALLERS,8,4,0,4,,eyeballers
EYES ON U,0,,,,,eyes-on-u-new
EYEsports,9,2,0,7,,eyesports-cs-go
Eyez on me,0,,,,,eyez-on-me
EZG eSports,1,0,0,1,,ezg-esports9122
Ezkatka,0,,,,,ezkatka
ez money crew,1,0,0,1,,ez-money-crew
F1-racecar-PEEK,2,1,0,1,,f1-racecar-peek
FAB Games eSport,0,,,,,fab-games-esport
facefuck,0,,,,,facefuck
Factory Assault Team,1,0,0,1,,factory-assault-team
FAIRYTAIL,0,,,,,fairytail
Faith Unity,0,,,,,faith-unity8482
fakemaquinas,2,1,0,1,,fakemaquinas
Falconax,0,,,,,falconax1429
Falkol e-Sports,0,,,,,falkol-e-sports
Falood Jackson,5,0,0,5,,falood-jackson6146
Fam143,2,0,0,2,,fam143
fan jävla,5,1,0,4,,fan-j-vla9476
FantaShockata,3,2,0,1,,fantashockata
FANTASY,7,2,0,5,,fantasy
Fantazeri,0,,,,,fantazeri7514
Far East Boys,0,,,,,far-east-boys
fbgaming,5,3,0,2,,fbgaming
FBI,1,0,0,1,,fbi6430
FeelsUnderAgeMan,0,,,,,feelsunderageman
Fenix,0,,,,,fenix
Fenix Fire,0,,,,,fenix-fire
FenixGG,0,,,,,fenixgg
Fenux Black,0,,,,,fenux-black7168
FFAmix,2,0,0,2,,ffamix
FibroWeb,0,,,,,fibroweb
Fierce Tiger,9,5,2,2,,fierce-tiger
Final Feature,6,2,0,4,,final-feature9794
Final Feature Gaming,1,0,0,1,,final-feature-gaming
Findictus,0,,,,,findictus
Finis coronat opus,0,,,,,finis-coronat-opus
Finnish Royalty,0,,,,,finnish-royalty5075
Fire Dragoon E-Sports,7,2,0,5,,fire-dragoon413
FiRENATiON,4,1,0,3,,firenation650
firre,0,,,,,firre5408
fish123,4,0,0,4,,fish1237284
FiVe,2,0,0,2,,five-1
_FIVE,0,,,,,five-esports-club480
FIXNATION,0,,,,,fixnation8166
Flaekk,0,,,,,flaekk5256
flaekkeholdet,0,,,,,flaekkeholdet
Flaekkeholdet,0,,,,,flaekkeholdet2818
FLÆKKETID,1,0,0,1,,fl-kketid7415
Flawless,0,,,,,flawless
FlipSid3 Staff,3,1,0,2,,flipsid3-staff3762
Flipside Pugs,0,,,,,flipside-pugs641
Fly Guy Entertainment,0,,,,,fly-guy-entertainment
FM eSports,16,4,0,12,,fm-esports9577
FMESPORTS,0,,,,,fmesports
FM eSports Female,2,0,0,2,,fm-esports-female3850
fm.SAPPHIRE,0,,,,,fm-sapphire
fm.TOXiC,11,3,0,8,,fm-toxic-cs-go
Fnatic Staff,11,5,0,6,,fnatic-staff656
ForceArena Lviv,2,0,0,2,,forcearena-lviv
Forcebuy,0,,,,,forcebuy1997
Formel,3,1,0,2,,formel
?Forsaken E-Sports,0,,,,,forsaken-e-sports
ForTheBoys,2,0,0,2,,fortheboys
Fortius Gaming,0,,,,,fortius-gaming
Forty Six and 2,4,3,0,1,,forty-six-and-2
Forward Gaming,6,1,0,5,,forward-gaming-1
forZe Forever Young,0,,,,,forze-forever-young
forZe.Legends,0,,,,,forze-legends
forZe Staff,10,7,0,3,,forze-staff
FPLC,0,,,,,fplc2946
Fractals,0,,,,,fractals2353
Fraglider.pt,8,3,0,5,,fraglider-pt3887
Frag Machines,2,0,0,2,,frag-machines2924
fragsports.com,2,1,0,1,,fragsports-com4436
frantic,0,,,,,frantic7881
Fraternitas,4,2,0,2,,fraternitas1008
Freaks 4U Gaming,5,2,0,3,,freaks-4u-gaming9487
Free Agents,0,,,,,free-agents
Freedom 35,5,2,0,3,,freedom-35
free TayK-47,0,,,,,free-tayk-478231
Free TON,4,3,0,1,,free-ton
FreshFox eSports Female,2,0,0,2,,freshfox-esports-female
FriendlyFire,16,9,0,7,,friendlyfire
Frizoluszki,0,,,,,frizoluszki
Frost Gaming,0,,,,,frost-gaming-cs-go
fruits,0,,,,,fruits5410
fruits,0,,,,,fruits1103
fruits,0,,,,,fruits7425
Fruits,4,0,0,4,,fruits2652
fSociety,0,,,,,fsociety
FTW,0,,,,,ftw9149
FUAH,0,,,,,fuah
Fuckin'5,0,,,,,fuckin5
Fueguito Gaming,0,,,,,fueguito-gaming
FUGL?,0,,,,,fugl5901
FULL SEND,1,0,0,1,,full-send
Funky Monkeys,0,,,,,funky-monkeys
FURIA Academy,26,4,0,22,,furia-academy
FU.sk,0,,,,,fusk
Fylkir,0,,,,,fylkir
G2A.com,1,0,0,1,,g2a-com7075
Gaimin Gladiators,7,2,0,5,,gaimin-gladiators-1
Galatics E-Sports,1,0,0,1,,galatics-e-sports8136
Gale Force Esports,8,2,0,6,,gale-force-esports7819
Galkynysh,1,0,0,1,,galkynysh
Gambit 2017,1,1,0,0,,gambit-2017
Gambit Staff,9,4,0,5,,gambit-staff
gamed!de,0,,,,,gamedde
Gameinside.ua,4,0,0,4,,gameinside-ua4194
GameKing,0,,,,,gameking
Gameplan,1,0,0,1,,gameplan6877
GameplayDNA,0,,,,,gameplaydna8668
GamePub,8,1,0,7,,gamepub
GamerHouse,0,,,,,gamerhouse
Gamers2,52,15,9,28,,gamers-2-csgo
Gamers2,0,,,,,gamers2
Gamers.com.mt,1,0,0,1,,gamers-com-mt2248
GamersLeague eSports,0,,,,,gamersleague-esports926
games4u,0,,,,,games4u7818
Games4u,1,0,0,1,,games4u4910
Gametime,0,,,,,gametime9689
GameTV,4,0,0,4,,gametv
Gaming.dk,4,2,0,2,,gaming-dk6871
Gamoniac,0,,,,,gamoniac
GANK,0,,,,,gank5667
GATHERS eSports,0,,,,,gathers-esports
Gdansk Lions,0,,,,,gdansk-lions6242
Geduld,2,0,0,2,,geduld1149
Geek Organisation,0,,,,,geek-organisation2301
Generation of Miracles,0,,,,,generation-of-miracles
GenOne,4,2,0,2,,genone
GENS UNA SUMUS,0,,,,,gens-una-sumus
Geostorm,4,2,0,2,,geostorm
GET HIGH,2,1,0,1,,get-high2602
GEX,2,0,0,2,,gex9013
GF-Gaming,0,,,,,gf-gaming-cs-go
Gfinity,1,0,0,1,,gfinity4856
ggrabb,1,0,0,1,,ggrabb9218
GGWP.PRO,0,,,,,denova-gaming-cs-go
ggwp.pro/by/,0,,,,,ggwp-pro-by186
GIANTS,0,,,,,giants
Gicionary,0,,,,,gicionary7205
GirlsLegion,0,,,,,girlslegion
GLADIATORS,4,2,0,2,,gladiators
Glassysky,0,,,,,glassysky
Global Gaming League,0,,,,,global-gaming-league
Glockoma,5,2,0,3,,glockoma
GO4Balkan,2,2,0,0,,go4balkan9429
GO4Bosnia,1,0,0,1,,go4bosnia822
GO4Croatia,1,0,0,1,,go4croatia4555
GO4Serbia,2,1,0,1,,go4serbia7128
Goalie,0,,,,,goalie9529
GODSENT Academy,3,0,0,3,,godsent-academy-csgo
GOGOMYTEAM,0,,,,,gogomyteam7030
GoldenGitte,5,1,0,4,,goldengitte
golden knights,1,0,0,1,,golden-knights
GoldenMix,1,0,0,1,,goldenmix5875
GoodGamePR,1,0,0,1,,goodgamepr
Goodgame.ru,14,9,0,5,,goodgame-ru6989
GoodJob,5,4,0,1,,platoon-alpha
Good People,0,,,,,good-people5911
Good Question,3,1,0,2,,good-question
GoPro Gaming,0,,,,,gopro-gaming
Gorilla Core e-Sports,1,0,0,1,,gorilla-core-e-sports2524
Gorilla Gang,8,4,0,4,,gorilla-gang
Gothboiclique,1,0,0,1,,gothboiclique
GPlay.bg,0,,,,,gplaybg
GRABBARNAGRUS,0,,,,,grabbarnagrus
grandSoldater,0,,,,,grandsoldater5583
granSoldater,0,,,,,gransoldater1845
Granted,3,1,0,2,,granted
grazhtas,5,4,0,1,,grazhtas
Great Britan,7,2,0,5,,1835
Green Town,0,,,,,green-town6073
GreyFaceNoSpace,0,,,,,greyfacenospace
GRGECHI,1,0,0,1,,grgechi
gribs,0,,,,,gribs
GriefMasters,0,,,,,griefmasters
Grinny Bakers,0,,,,,grinny-bakers
Grinny Bankers,0,,,,,grinny-bankers
GROMclan,1,0,0,1,,gromclan
GROND,9,3,0,6,,grond
GRS.GP,0,,,,,grs-gp1616
guccixD,4,2,0,2,,guccixd
Guerilla Method,4,1,0,3,,guerilla-method6237
Guerilla Tactic,1,0,0,1,,guerilla-tactic9900
Guerreros del Mouse,0,,,,,guerreros-del-mouse
Guerrilla Tactics,2,0,0,2,,guerrilla-tactics6097
GUNRUNNERS,2,1,0,1,,gunrunners1318
Gux &amp; Friends,10,3,0,7,,gux-friends334
GX,7,2,0,5,,gx
GymnastIC,0,,,,,gymnastic7964
H$mazters,0,,,,,hmazters
H5 Gaming,5,0,0,5,,h5-gaming6497
haest,0,,,,,haest4669
Hala Ares,2,0,0,2,,hala-ares6287
Ha MaSSe,5,2,0,3,,ha-masse2489
harambeGOD,0,,,,,harambegod5736
Hard4U,5,2,0,3,,hard4u
HardCire,0,,,,,hardcire
HARDIEST,0,,,,,hardiest1569
Hardknocks,0,,,,,hardknocks6548
Hardknocks,0,,,,,hardknocks
hard'N'play,0,,,,,hardnplay
Hardware Arena,0,,,,,hardware-arena
hateMania,0,,,,,hatemania5944
hatersg0nnahate,2,1,0,1,,hatersg0nnahate
hatersGonnahate,0,,,,,hatersgonnahate
Haunted Familly,2,0,0,2,,haunted-familly
Hawks,0,,,,,hawks
Hawks ,0,,,,,hawks-
HD4R,0,,,,,hd4r
Heat,0,,,,,heat1010
Heavy Knockouts,8,3,0,5,,heavy-knockouts
Hegemony,3,1,0,2,,hegemony1244
Hellangels,4,2,0,2,,hellangels2612
Hellraisers.pro,2,0,0,2,,hellraisers-pro5181
HellRaisers Staff,8,1,0,7,,hellraisers-staff
Heretics,0,,,,,heretics343
Heroic 2vs2,3,1,0,2,,heroic-2vs29555
Heroic-eSports,0,,,,,heroic-esports
heroin,0,,,,,heroin7739
HeyGuys,1,1,0,0,,heyguys
HG Clan,5,1,0,4,,hg-clan7111
highgrade,1,0,0,1,,highgrade
HiGHRiSED,0,,,,,highrised
hiGhrollers,1,0,0,1,,highrollers5852
High Rollers Gaming,0,,,,,high-rollers-gaming-cs-go
Hitbox.tv,6,0,0,6,,hitbox-tv175
hmm,1,0,0,1,,hmm5396
Hobro Vikings,0,,,,,hobro-vikings
Hold Mouse One,0,,,,,hold-mouse-one
Hold Mouse One ,0,,,,,hold-mouse-one-
Hold My Purse,0,,,,,hold-my-purse67
HOLLYWOOD,25,9,0,16,,hollywood
Homel3ss,0,,,,,homel3ss
HOMESENT,0,,,,,homesent
HoP eSports,9,5,0,4,,hop-esports
HORMONES,1,0,0,1,,hormones
HOTU,2,1,0,1,,hotu
HS.GG,0,,,,,hs-gg3813
hudzGs TEAM,5,3,0,2,,hudzgs726
HUE1,1,0,0,1,,hue12462
Huehue,0,,,,,huehue
HUH!,2,2,0,0,,huh1573
HUKKA eSports,2,0,0,2,,hukka-esports
HUMMER Esports,3,1,0,2,,hummer-esports
Hungarian Esport TV,4,2,0,2,,hungarian-esport-tv3857
Hungarian Esport TV,0,,,,,wild1749
HWML,3,1,0,2,,hwml
Hybrid,3,1,0,2,,hybrid1064
HyperShots Multigaming,1,0,0,1,,hypershots3602
HyperX FR34KSHOW,0,,,,,hyperx-fr34kshow
Hysteria,6,0,0,6,,hysteria
Iceberg Esports,0,,,,,iceberg-esports1688
icsu,0,,,,,icsu
Idal Lions,0,,,,,idal-lions
IdX Gaming,0,,,,,idx-gaming
iGamerz,1,0,0,1,,igamerz2677
Ignis,8,3,0,5,,ignis
ignite,0,,,,,ignite
Ignite Esport,2,1,0,1,,ignite-esport
ikarus,2,0,0,2,,ikarus
IKLA,3,2,0,1,,ikla
Ildal Lions,0,,,,,ildal-lions
Illuminar Gaming,0,,,,,illuminar-gaming
iLLUMINAYOR,0,,,,,illuminayor4934
IM11,4,1,0,3,,im11
IMBA.SAS,9,3,2,4,,imba-sas
ImbaTV,3,1,0,2,,imbatv
IMOLA,0,,,,,imola7070
Imperial Dragons,2,0,0,2,,imperial-dragons3360
Império Multimédia,0,,,,,imperio-multimedia
Impossible,3,0,0,3,,impossible6330
Impressive Gaming,0,,,,,impressive-gaming
Impulse Gaming Japan,0,,,,,impulse-gaming-japan2138
iNation,14,9,0,5,,ination4139
Incept eSports,0,,,,,incept-esports
INCEPTION,0,,,,,inception2578
inchk1ng,5,2,0,3,,inchk1ng307
Incursion,0,,,,,incursion
Indigo Int.,0,,,,,indigo-int-cs-go
InetGamer,0,,,,,inetgamer
iNETKOXTV,0,,,,,inetkoxtv
iNET koxXx,0,,,,,inet-koxxx
Infamous,10,5,0,5,,infamous-1
Infected Gaming,0,,,,,infected-gaming
Infernal Gamerz,0,,,,,infernal-gamerz
Infernal Paradise,0,,,,,infernal-paradise
Infernum Gaming,0,,,,,infernum-gaming
Infinite Gaming,4,3,0,1,,infinite-gaming
Infinity Esports,14,2,0,12,,infinity-esports
Inflames,0,,,,,inflames
Infused,2,1,0,1,,infused8435
IN.GAME,10,4,0,6,,in-game
Innova e-Sports,4,0,0,4,,innova-e-sports6033
Innova e-Sports,0,,,,,innova-e-sports
inSanitY,0,,,,,insanity
INSHAKER,0,,,,,inshaker
Insidious Gaming,0,,,,,insidious-gaming
Insomnia eSports,0,,,,,insomnia-esports
iNTACT eSports,11,2,0,9,,intact-esports
Into The Breach,14,5,0,9,,into-the-breach-1
Intrepid Fox Gaming,3,0,0,3,,intrepid-fox-gaming
Invictus Aquilas,0,,,,,invictus-aquilas699
Invictus Gaming Int.,3,1,0,2,,invictus-gaming-int
Invizy Esport,2,1,0,1,,invizy-esport
In Your Head,0,,,,,in-your-head
Ionic,0,,,,,ionic
IPet Gaming,4,2,0,2,,ipet-gaming
iPLAY,0,,,,,iplay
Iron Branch,4,2,0,2,,iron-branch
Iron Legion,1,1,0,0,,iron-legoin
Isak,0,,,,,isak5401
Isak-eSport,0,,,,,isak-esport
IWKU Gaming,4,1,0,3,,iwku-gaming
Jakarta Juggernauts,0,,,,,jakarta-juggernauts
Jake Bube,0,,,,,jake-bube
JaS,0,,,,,jas
jatb,1,0,0,1,,jatb
Jayob e-Sports,0,,,,,jayob-e-sports
JiJieHao International,7,3,0,4,,jijiehao
JMD Gaming,0,,,,,jmd-gaming1891
Jordan's Money Crew,9,5,0,4,,jordans-money-crew
jQntefabrikkeN,0,,,,,jqntefabrikken1752
jQntefabrikkeN,0,,,,,jqntefabrikken7372
JSG,0,,,,,jsg1399
Juggernauts,2,1,0,1,,juggernauts
justbusiness,0,,,,,justbusiness
JUSTCAUSE,0,,,,,justcause
Just Make it Fast,1,0,0,1,,just-make-it-fast2704
Just Passing By,2,0,0,2,,just-passing-by
JusTus Pro,0,,,,,justus-pro
JYP Gaming,9,2,3,4,,jyp-gaming3953
k1ck.CSGO.HU,8,4,0,4,,k1ck-csgo-hu
k1ck eSports Club.es,0,,,,,k1ck-esports-clubes
k1ck eSports.es,14,4,0,10,,ex-epsilon-gaming
k1ck Oldschool,8,3,0,5,,k1ck-oldschool9050
k29,6,2,0,4,,k29
KaBuM!,9,3,0,6,,kabum
KaBuM! IDM Gaming,0,,,,,kabum-idm-gaming
KaosKlan,0,,,,,kaosklan
KapinA,0,,,,,kapina86
KAPPA,0,,,,,kappa3620
KappaKappa,0,,,,,kappakappa
Karabakh Horses,0,,,,,karabakh-horses
Karnage,0,,,,,karnage3960
Karont3,0,,,,,karont3
Kartfols,0,,,,,kartfols6760
Katrina,0,,,,,katrina864
KatsoPeiliin,2,0,0,2,,katsopeiliin
KAWAIIMEGU,0,,,,,kawaiimegu
KDDA,0,,,,,kdda7920
Kepardit,0,,,,,kepardit
kerchNet,15,4,1,10,,kerchnet-cs-go
Keyd Stars Female,5,1,2,2,,keyd-stars-female
Key-Preisvergleich.de,0,,,,,key-preisvergleichde
Khan,7,1,0,6,,khan-1
KhARUM,0,,,,,kharum
KILLERFISH eSport,22,5,3,14,,killerfish-esport-cs-go-2
Kindest Regards,1,0,0,1,,kindest-regards1267
Kinetic,0,,,,,kinetic
Kingpins Esports,0,,,,,kingpins-esports
Kings Gaming Club,3,1,0,2,,kings-gaming-club6401
Kingsmen,0,,,,,kingsmen
Kinguin,0,,,,,kinguin
kissiminttu,0,,,,,kissiminttu4632
KIYF Logitech G,1,0,0,1,,kiyf-logitech-g1045
KKTV,0,,,,,kktv
KLAN FONTAN,0,,,,,klan-fontan3996
KLANLOS,0,,,,,klanlos
Klanowa Nazwa Robocza,0,,,,,klanowa-nazwa-robocza
KlikTech,0,,,,,kliktech5116
KLIM eSports,0,,,,,klim-esports
Knights,0,,,,,knights
KOPUNIO,2,0,0,2,,kopunio
KOWABUNGA,0,,,,,kowabunga
KPS,0,,,,,kps1931
kr0nikz,0,,,,,kr0nikz6632
Kryvbas Gaming,3,0,0,3,,kryvbas-gaming
Kukulkan Esports,0,,,,,kukulkan-esports2773
KUNGAR,1,0,0,1,,kungar
kuraji-na-virajah,0,,,,,kuraji-na-virajah1941
KYIV,2,1,0,1,,kyiv
L4ORG,0,,,,,l4org6484
LAN Dodgers,13,4,0,9,,lan-dodgers
lanlaget,0,,,,,lanlaget7515
lapw,4,2,0,2,,lawp
Last Dance,0,,,,,last-dance
Last Picks,0,,,,,last-picks8781
Last Resort,0,,,,,last-resort
LaVidaLoca!,1,0,0,1,,lavidaloca5535
La Voiture Noire,1,0,0,1,,la-voiture-noire
LDDM e-Sports,0,,,,,lddm-e-sports
Le Deux Et,0,,,,,le-deux-et
LeetGamerZ,1,0,0,1,,leetgamerz
lefteye,0,,,,,lefteye
LeftOut,11,3,0,8,,ex-team-envyus
LeftoverZ,0,,,,,leftoverz
Legacy,0,,,,,legacy5524
Legends,6,2,1,3,,legends8893
Legion,0,,,,,legion
